Participante,Sexo,Item,Edad,Imagen,TCDD,MD,Tiempo,Ventana
29,M,12,21,d2,DD,s,0.051,5
30,M,4,23,d2,DD,h,0.093,5
30,M,8,23,d2,DD,n,0.0525,5
30,M,12,23,d2,DD,s,0.1665,5
31,F,4,21,d2,DD,h,0.045,5
31,F,8,21,d2,DD,n,0.0265,5
31,F,12,21,d2,DD,s,0.121,5
32,F,4,20,d2,DD,h,0.087,5
32,F,8,20,d2,DD,n,0.1985,5
32,F,12,20,d2,DD,s,0.128,5
33,M,4,19,d2,DD,h,0.2475,5
33,M,8,19,d2,DD,n,0.1055,5
33,M,12,19,d2,DD,s,0.1015,5
1,F,1,23,t,t,h,0.788,5
1,F,5,23,t,t,n,0.655,5
1,F,9,23,t,t,s,0.6175,5
2,M,1,19,t,t,h,0.833,5
2,M,5,19,t,t,n,0.6065,5
2,M,9,19,t,t,s,0.3135,5
3,F,1,21,t,t,h,0.5835,5
3,F,5,21,t,t,n,0.7905,5
3,F,9,21,t,t,s,0.699,5
4,F,1,24,t,t,h,0.8935,5
4,F,5,24,t,t,n,0.7865,5
4,F,9,24,t,t,s,0.608,5
5,F,1,19,t,t,h,0.7205,5
5,F,5,19,t,t,n,0.6245,5
5,F,9,19,t,t,s,0.5885,5
6,F,1,19,t,t,h,1.118,5
6,F,5,19,t,t,n,1.193,5
6,F,9,19,t,t,s,0.547,5
7,M,1,22,t,t,h,0.4225,5
7,M,5,22,t,t,n,0.485,5
7,M,9,22,t,t,s,0.284,5
8,F,1,23,t,t,h,1.0975,5
8,F,5,23,t,t,n,1.0745,5
8,F,9,23,t,t,s,0.487,5
9,F,1,23,t,t,h,0.4865,5
9,F,5,23,t,t,n,0.8675,5
9,F,9,23,t,t,s,0.7355,5
10,F,1,22,t,t,h,0.97,5
10,F,5,22,t,t,n,0.886,5
10,F,9,22,t,t,s,0.3795,5
11,F,1,21,t,t,h,0.7485,5
11,F,5,21,t,t,n,0.9675,5
11,F,9,21,t,t,s,0.9355,5
12,F,1,18,t,t,h,0.7095,5
