Participante,Sexo,Item,Edad,Imagen,TCDD,MD,Tiempo,Ventana
6,F,6,19,c,c,n,0.137,4
6,F,7,19,d1,DD,n,0.0215,4
6,F,8,19,d2,DD,n,0.013,4
6,F,5,19,t,t,n,0.234,4
7,M,6,22,c,c,n,0.1335,4
7,M,7,22,d1,DD,n,0.0055,4
7,M,8,22,d2,DD,n,0.045,4
7,M,5,22,t,t,n,0.1125,4
8,F,6,23,c,c,n,0.151,4
8,F,7,23,d1,DD,n,0.0085,4
8,F,8,23,d2,DD,n,0.0315,4
8,F,5,23,t,t,n,0.1515,4
9,F,6,23,c,c,n,0.1175,4
9,F,7,23,d1,DD,n,0.029,4
9,F,8,23,d2,DD,n,0.067,4
9,F,5,23,t,t,n,0.114,4
1,F,2,23,c,c,h,0.0713,4
1,F,3,23,d1,DD,h,0.103,4
1,F,4,23,d2,DD,h,0.0045,4
1,F,1,23,t,t,h,0.177,4
10,F,2,22,c,c,h,0.0662,4
10,F,3,22,d1,DD,h,0,4
10,F,4,22,d2,DD,h,0.014,4
10,F,1,22,t,t,h,0.113,4
11,F,2,21,c,c,h,0.1095,4
11,F,3,21,d1,DD,h,0.0035,4
11,F,4,21,d2,DD,h,0.0075,4
11,F,1,21,t,t,h,0.202,4
12,F,2,18,c,c,h,0.1003,4
12,F,3,18,d1,DD,h,0.09,4
12,F,4,18,d2,DD,h,0.0165,4
12,F,1,18,t,t,h,0.14,4
13,F,2,24,c,c,h,0.0925,4
13,F,3,24,d1,DD,h,0.087,4
13,F,4,24,d2,DD,h,0.022,4
13,F,1,24,t,t,h,0.175,4
14,M,2,21,c,c,h,0.0986,4
14,M,3,21,d1,DD,h,0.0095,4
14,M,4,21,d2,DD,h,0.011,4
14,M,1,21,t,t,h,0.156,4
15,F,2,18,c,c,h,0.115,4
15,F,3,18,d1,DD,h,0.03,4
15,F,4,18,d2,DD,h,0.0275,4
15,F,1,18,t,t,h,0.256,4
16,F,2,23,c,c,h,0.0776,4
16,F,3,23,d1,DD,h,0.036,4
16,F,4,23,d2,DD,h,0.0095,4
16,F,1,23,t,t,h,0.1365,4
17,F,2,18,c,c,h,0.0653,4
17,F,3,18,d1,DD,h,0.097,4
17,F,4,18,d2,DD,h,0.027,4
17,F,1,18,t,t,h,0.1015,4
18,F,2,20,c,c,h,0.0944,4
18,F,3,20,d1,DD,h,0.054,4
18,F,4,20,d2,DD,h,0.075,4
18,F,1,20,t,t,h,0.1745,4
19,F,2,19,c,c,h,0.0817,4
19,F,3,19,d1,DD,h,0.021,4
19,F,4,19,d2,DD,h,0.01,4
19,F,1,19,t,t,h,0.169,4
2,M,2,19,c,c,h,0.0815,4
2,M,3,19,d1,DD,h,0.057,4
2,M,4,19,d2,DD,h,0.0255,4
2,M,1,19,t,t,h,0.117,4
20,F,2,20,c,c,h,0.0766,4
20,F,3,20,d1,DD,h,0.079,4
20,F,4,20,d2,DD,h,0.018,4
20,F,1,20,t,t,h,0.0595,4
21,F,2,20,c,c,h,0.1013,4
21,F,3,20,d1,DD,h,0.0165,4
21,F,4,20,d2,DD,h,0.04,4
21,F,1,20,t,t,h,0.1765,4
22,M,2,22,c,c,h,0.1026,4
22,M,3,22,d1,DD,h,0.1025,4
22,M,4,22,d2,DD,h,0.092,4
22,M,1,22,t,t,h,0.1565,4
23,F,2,21,c,c,h,0.1177,4
23,F,3,21,d1,DD,h,0.0095,4
23,F,4,21,d2,DD,h,0,4
23,F,1,21,t,t,h,0.268,4
24,M,2,21,c,c,h,0.0999,4
24,M,3,21,d1,DD,h,0.032,4
24,M,4,21,d2,DD,h,0.0105,4
24,M,1,21,t,t,h,0.194,4
25,F,2,19,c,c,h,0.1154,4
25,F,3,19,d1,DD,h,0.0075,4
25,F,4,19,d2,DD,h,0.017,4
25,F,1,19,t,t,h,0.1955,4
26,F,2,20,c,c,h,0.0565,4
26,F,3,20,d1,DD,h,0.084,4
26,F,4,20,d2,DD,h,0.0685,4
26,F,1,20,t,t,h,0.0755,4
27,F,2,21,c,c,h,0.0971,4
27,F,3,21,d1,DD,h,0.065,4
27,F,4,21,d2,DD,h,0.051,4
27,F,1,21,t,t,h,0.1205,4
28,F,2,20,c,c,h,0.0753,4
28,F,3,20,d1,DD,h,0.12,4
28,F,4,20,d2,DD,h,0.044,4
28,F,1,20,t,t,h,0.078,4
29,M,2,21,c,c,h,0.0599,4
29,M,3,21,d1,DD,h,0.011,4
29,M,4,21,d2,DD,h,0,4
29,M,1,21,t,t,h,0.1375,4
3,F,2,21,c,c,h,0.1072,4
3,F,3,21,d1,DD,h,0.0485,4
3,F,4,21,d2,DD,h,0.0365,4
3,F,1,21,t,t,h,0.195,4
30,M,2,23,c,c,h,0.0685,4
30,M,3,23,d1,DD,h,0.0695,4
30,M,4,23,d2,DD,h,0.016,4
30,M,1,23,t,t,h,0.095,4
31,F,2,21,c,c,h,0.1283,4
31,F,3,21,d1,DD,h,0.0175,4
31,F,4,21,d2,DD,h,0.0285,4
31,F,1,21,t,t,h,0.3405,4
32,F,2,20,c,c,h,0.0525,4
32,F,3,20,d1,DD,h,0.095,4
32,F,4,20,d2,DD,h,0.0565,4
32,F,1,20,t,t,h,0.083,4
33,M,2,19,c,c,h,0.0948,4
33,M,3,19,d1,DD,h,0.016,4
33,M,4,19,d2,DD,h,0.0855,4
33,M,1,19,t,t,h,0.163,4
